YEAR (start),Date Duration,OperationName,Unit(s) – Description,Location,VC–NVAKIA's,Allied KIA's
1967,Sep 11 – Nov 11 1968,Operation Wheeler/Wallowa[77][78],"Task Force Oregon (originally196th Infantry Brigade, 1st Brigade,101st Airborne Divisionand 3rd Brigade,4th Infantry Divisionlater reconstituted as23rd Infantry Divisionconsisting of the196th,198thand11th Infantry Brigadesoperations)","Nui Luc Son Valley,Quảng NamandQuảng Tín Provinces","10,020",683
1967,Sep 12 – Oct 10,Operation Coronado V[79],9th Infantry Divisionoperation,Kien HoaandDinh Tuong Provinces,347,72
1967,Sep 12 – Oct 31,Operation Neutralize[1][80],USAF and US Navy operations against NVA artillery positions bombardingCon Thien,DMZ,,
1967,Sep 15 – 21,Operation Arkansas City I[13],11th Armored Cavalry Regimentreconnaissance in force operation to attempt to locate and destroy theVC 274th Regiment,Highway 2,,
1967,Sep 16 – 28,Operation Ballistic Charge[81],1st Battalion 3rd Marinesoperation,Quảng NamandQuảng Tín Provinces,,
1967,Sep 17,Operation Fortress Sentry[1][82],"2nd Battalion, 3rd Marinesamphibious and heliborne search and destroy operation",Quảng Trị Province,,
1967,Sep 19 – Jan 31 1969,Operation Bolling[83],1st Cavalry Divisionand173rd Airborne Brigadeoperation,Phú Yên Province,715,55
1967,Sep 22 – 28,Operation Richmond[1][13],"3rd Squadron,11th Armored Cavalry Regimentengineering security operation","alongRoute 20,Long Khánh Province",,
1967,Sep 22 – 29,Operation Shelbyville[1][81],"2nd Battalion, 1st Marines,1st Battalion, 3rd Marines,3rd Battalion, 5th Marinesand1st Battalion, 11th Marinessearch and destroy operation",Quảng Nam Province,,
1967,Sep 23 – 28,Operation Bluefield II[1],1st Infantry Divisionsearch and destroy and road-clearing operation,III Corps,,
1967,Sep 24 – Oct 9,Operation Arkansas City II[1],11th Armored Cavalry Regimentsearch and destroy operation,Phước Tuy Province,,
1967,Sep 26 – Oct 21,Operation Akron III[1],"1st Brigade,9th Infantry Divisionsearch and destroy operation",Biên Hòa Province,,
1967,Sep 27 – Nov 19,Operation Shenandoah II[84],1st Infantry Divisionoperations inBinh Guong Provincethat extended to include theLoc Ninharea ofBình Long Provinceafter NVA/VC attacks onLoc Ninhon 29 October 1967. TheBattle of Ong Thanhtook place when U.S. forces were ambushed by a superior communist force.,Bing GuongandBình Long Provinces.,,
1967,Sep 29 – Oct 11,Operation Kenmore[1][5],"2nd Battalion, Royal Australian Regimentand7th Battalion, Royal Australian Regimentsearch and destroy operation",Phước Tuy Province,,
1967,Oct – Dec,Operation Night Bolt[85],US Navy plan to scuttle a submarine to block theHaiphongchannel (Cua Nam Trieu),Haiphong,,
1967,Oct 1 – Feb 8,Operation Dazzlem (1967-68)[1],1st Cavalry Division(1Oct 67 – 17 Jan 68) and173rd Airborne Brigade(17 Jan – 8 Feb 68) search and destroy operation,Bình Định Province,,
1967,Oct 4 – Nov 11,Operation Wallowa[1],23rd Infantry Divisionand3/1 Cavalrysearch and destroy and security operation,Quảng NamandQuảng Tín Provinces,,
1967,Oct 10 – 20,Operation Lam Son 138[1],two battalions of theARVN 1st Divisionoperation in conjunction with the USOperation Medina,"Hai LangForest Reserve,Quảng TrịandThừa Thiên Provinces",,
1967,Oct 10 – 20,Operation Medina[1][86],"1st Battalion, 1st Marines,2nd Battalion, 1st Marines,1st Battalion, 3rd Marines,1st Battalion, 4th Marines,1st Battalion, 11th Marinesand two battalions of theARVN 1st Divisionoperation",Hai LangForest Reserve,,
1967,Oct 11 – 20,Operation Bastion Hill[1][87],"1st Battalion 1st Marines,2nd Battalion 1st Marines,1st Battalion 3rd Marines,1st Battalion 4th Marinesand1st Battalion 11th Marinessearch and destroy operation",Quảng TrịandThừa Thiên Province,,
1967,Oct 11 – 20,Operation Coronado VI[1],"MRF2nd Brigade,9th Infantry Divisionsearch and destroy operation",III Corps,,
1967,Oct 12 - Jan 31 1969,Operation MacArthur[1],"4th Infantry Division,1st Cavalry Division,173rd Airborne Brigade, ARVN 42nd Regiment and3rd Airborne Battalionoperations, including theBattle of Dak To",western highlands ofPleikuandKon Tum Provinces,"5,731",700+
1967,Oct 14,Operation Lard Yar[1],Royal Thai Army Volunteer Regimentoperation,III Corps,,
1967,Oct 15 – 17,Operation Onslow[1][88],"1st Battalion, 5th MarinesandARVN 2nd Ranger Battalionsearch and destroy operation",Quảng Nam Province,,
1967,Oct 15 – Dec 31,Operation Boudinot[1],"5th Special Forces Group,27th MSF CompanyandCIDGoperation",Đắk Lắk Province,,
1967,Oct 17 – 20,Operation Don Ched I[1],"4th Battalion,39th Infantry RegimentandRoyal Thai Army Volunteer Regimentsearch and destroy operation",III Corps,,
1967,Oct 17 – 24,Operation Formation Leader[1][89],"2nd Battalion, 3rd Marinesamphibious and heliborne search and destroy operation","coastal region east ofRoute 1,Thừa Thiên Province",,
1967,Oct 17 – Nov 1,Operation Shenandoah I[90],"1st Brigade,1st Infantry Divisionroad-runner operation",Lai Khe–An Loc–Dầu Tiếngarea,97,
1967,Oct 20 – 23,Operation Valdosta II[13],11th Armored Cavalry Regimentsecurity operations,centralLong Khánh Province,,
1967,Oct 20 – Jan 20 68,Operation Osceola[1][64][91],"1st Battalion, 1st Marinesand1st Battalion, 3rd Marinessearch and destroy operation","Hải Lăng Forest,Quảng Trị Province",76,17
1967,Oct 20 – Apr 7 68,Operation Narasuan[92],9th Infantry DivisionandRoyal Thai Army Volunteer Regimentsearch and destroy operation,Biên Hòa Province,,
1967,Oct 21 – Nov 1,Operation Coronado VII[1],9th Infantry Divisionsearch and destroy operation,III Corps,,
1967,Oct 24 – Nov 4,Operation Knox[1][88],"2nd Battalion, 3rd Marinesand3rd Battalion, 11th Marinesoperation",Thừa Thiên Province,,
1967,Oct 25 – Nov 6,Operation Granite[1][93],"1st Battalion, 3rd Marinesand1st Battalion, 4th Marinesoperation",Thừa Thiên Province,,
1967,Oct 27 – Nov 18,Operation Santa Fe[1][5],"2nd Battalion, Royal Australian Regiment,7th Battalion, Royal Australian Regimentand A Squadron,3rd Cavalry Regimentsearch and destroy operation",Phước Tuy Province,,
1967,Nov,Operation Eagle Thrust[1],Movement of the101st Airborne DivisiontoSouth Vietnam,,,
1967,Nov 1 – Jan 18 1968,Operation Coronado IX[1][94],"9th Infantry Division, US Navy Task Force 117 and 5th Battalion,VNMCoperation",Kien HoaandDinh Tuong Province,349,32
1967,Nov 1 – Jan 20 1968,Operation Lancaster[91][95],"1st Battalion, 1st Marines,3rd Battalion, 3rd Marines,2nd Battalion, 9th Marinesand3rd Battalion, 9th Marinessearch and destroy operation",Route 9betweenCam Loand in the oldOperation Kingfisherarea aroundCa Lu,46,27
1967,Nov 1 – Jan 20 1968,Operation Neosho[64][91],"1st Battalion, 4th Marines,1st Battalion, 9th Marines,3rd Battalion, 12th Marinesand 3rd Battalion,26th Marinesoperation",northwest ofHuế,77,12
1967,Nov 1 – Mar 31 1968,Operation Scotland[64][96],"1st Battalion, 9th Marines,1st Battalion, 13th Marinesand 1st, 2nd and 3rd Battalions,26th Marinesoperations (including theBattle of Khe Sanh). The operation terminates with commencement ofOperation Pegasus",westernmost portion ofQuảng Trị Provincecentered on theKhe Sanharea,1631,204
1967,Nov 1 – Feb 28 1968,Operation Kentucky[97][98],"1st Battalion, 1st Marines,2nd Battalion, 1st Marines,1st Battalion, 3rd Marines,2nd Battalion, 3rd Marines,3rd Battalion, 3rd Marines,1st Battalion, 4th Marines,2nd Battalion, 4th Marines,3d Battalion, 4th Marines,1st Battalion, 9th Marines,2nd Battalion, 9th Marines,3rd Battalion, 9th Marines, 1st and 2nd Battalions,26th Marinesand3rd Tank Battalionanti-infiltration operation","Leatherneck Square betweenCon Thien,Gio Linh,Cam LoandDong Ha","3,921",520
1967,Nov 2 – Jan 5 1968,Operation Santa Fe (1967-68)[1][13],"1st Brigade,9th Infantry Division,11th Armored Cavalry Regiment2nd Battalion, Royal Australian Regiment,7th Battalion, Royal Australian Regimentand ARVN 2nd Battalion, 43rd Infantry Regiment operations to openRoute 1",Gia RaytoHam Tan,8,
1967,Nov 5 – Feb 29 68,Operation Napoleon[99],"3rd Battalion, 1st Marines,1st Battalion, 3rd Marinesand1st Amphibian Tractor Battalionoperation","north of theCua Viet River,Dong Haarea",,
1967,Nov 6 – 17,Operation Essex[1][100],"2nd Battalion, 5th Marinesand3rd Battalion, 5th Marinessearch and destroy operation",Quảng Nam Province,,
1967,Nov 11 – 30,Operation Rose[1],"3rd Battalion,506th Airborne Infantry Regimentsearch and destroy operation",Bình ThuậnandNinh Thuận Provinces,,
1967,Nov 13 – 29,Operation Badger Hunt[1][101],2nd Battalion 3rd Marinessearch and destroy operation,"Đại Lộc District,Quảng Nam Province",,
1967,Nov 13 – 30,Operation Foster[1][88],"2nd Battalion, 3rd Marines,3rd Battalion, 7th Marinesand3rd Battalion, 11th Marinessearch and destroy operation",Quảng Nam Province,,
1967,Nov 16 – 24,Operation Kiên Giang 9-1[1][102],"MRF, 2nd and 3rd Brigades,9th Infantry Division, ARVN7th Divisionand9th Division, 5th Battalion,Republic of Vietnam Marine Corpsand US Navy TF117 operation against the Vietcong 263rd and 514th Battalions Base Area 470",Dinh Tuong Province,21,12
1967,Nov 17 – 21,Operation Cove[1],"1st Battalion, 4th Marines,3rd Battalion, 12th Marinesand 2nd and 3d Battalions,26th Marinessecurity operation",Thừa Thiên Province,,
1967,Nov 17 – Dec 17,Operation Strike/Operation Uniontown[1],9th Infantry Divisionand199th Infantry Brigadeoperation,Biên Hòa Province,,
1967,Nov 18 – Dec 23,Operation Atlanta II[1],"2nd and 3rd Brigades,25th Infantry Divisionand ARVN5th Divisionsearch and destroy operation",Bình DươngandHậu Nghĩa Provinces,,
1967,Nov 23 – Jan 5 68,Operation Forrest[1][5],"2nd Battalion, Royal Australian Regiment,7th Battalion, Royal Australian Regimentand3rd Cavalry Regimentrice denial operation","west, east and southeast of theNui Datbase",,
1967,Nov 24 – 27,Operation Ballistic Arch[1][103],1st Battalion 3rd Marineshelicopter and amphibious assault operation,7 km (4 mi) south of theDMZinQuảng Trị Province,,
1967,Dec 1 – 17,Operation Uniontown[1],199th Light Infantry Brigadeoperation,,,
1967,Dec 1 – 23,Operation Sultan[1],Special ForcesProject DELTAoperation,II Corps,,
1967,Dec 1 – Jan 8 68,Operation Klamath Falls[1],"1st Brigade,101st Airborne Divisionand 2nd Squadron,7th Cavalry Regimentsearch and destroy operation","Bình Thuận,Bình TuyandLâm Đồng Provinces",,
1967,Dec 3 – 5,Operation Binh Son Support[1],198th Infantry Brigadeoperation,nearChu Lai,,
1967,Dec 4 – 5,Operation Tiger Coronado IX[1],"3rd Battalion,47th Infantry Regimentriverine search and destroy operation",Dinh Tuong Province,,
1967,Dec 4 – 21,Operation Quicksilver[1],11th Armored Cavalry Regimenthighway security operation for movement of the101st Airborne Division,betweenBến Cát DistrictandPhuoc Vinh,,
1967,Dec 5 – 12,Operation Pitt[1],"2nd Battalion, 7th Marinessearch and destroy operation",Quảng Nam Province,,
1967,Dec 8 – Feb 24 1968,Operation Yellowstone[13][104],"25th Infantry Division,2/22nd Mechanizedand11th Armored Cavalry Regimentsearch and destroy operations","Tây Ninh Province, along the Cambodian border","1,254",81
1967,Dec 8 – Mar 11 68,Operation Saratoga[1],25th Infantry Divisionoperation along the Cambodian border,"Bình Dương,Già Dinh,Hậu Nghĩa, andTây Ninh Provinces","3,862",215
1967,Dec 14 – Jan 20 68,Operation Brush[1],5th Special Forces GroupandMIKE Forceoperation,II Corps/III Corpsboundary,,
1967,Dec 15 – 23,Operation Citrus[1][88],"3rd Battalion, 7th Marinessearch and destroy operation",Quảng Nam Province,,
1967,Dec 16 – 31,Operation Camden[1],"3rd Battalion,25th Infantry Divisionand ARVN 49th Regiment search and destroy operation",Hậu NghĩaandTây Ninh Provinces,,
1967,Dec 17 – Jan 31 68,Operation Mang Ho IX[1],ROK Capital Divisionsearch and destroy operation,Bình Định Province,749,
1967,Dec 17 – Feb 17 68,Operation Manchester[1],"199th Infantry Brigadeand 3rd Brigade,101st Airborne Divisionsearch and destroy operation","Biên Hòa,Bình Dương,Long KhánhandPhước Long Provinces",,
1967,Dec 17 – Mar 8 68,Operation Uniontown[1][105],"199th Infantry Brigade, 3rd Brigade,101st Airborne Divisionand11th Armored Cavalry Regimentsecurity operation, encompassingTet Offensiveoperations",Biên HòaandGia Định Provinces,922,76
1967,Dec 18 – 23,Operation Warm Springs[1],199th Infantry Brigadesearch and destroy operation. RedesignatedOperation Uniontownon 23 Dec 67,III Corps,,
1967,Dec 18 – Jan 5 1968,Operation Hall[1],5th Special Forces Groupoperation,southwest ofCam Ranh Bay,,
1967,Dec 19 – 31,Operation Sylvester[1],5th Special Forces GroupandVân Canh DistrictCIDGforce reconnaissance operation,southwest ofQui Nhơn,,
1967,Dec 19 – Jun 10 1968,Operation Muscatine[1][106],"3rd Brigade,4th Infantry Division,11th Infantry Brigadeand198th Infantry Brigadeoperation",Quảng Ngãi Province,"1,129",142
1967,Dec 21 – 24,Operation Fortress Ridge[107],"3rd Battalion, 1st Marinesoperation","coast ofGio Linh District, 7 km (4 mi) south of theDMZ",10,10
1967,Dec 26,Operation Lam Son 166[20],ARVN1st Divisionoperations against the 816th Vietcong Battalion,Thừa ThiênandQuảng Trị Provinces,,
1967,Dec 26 – Jan 2 1968,Operation Badger Tooth[1][108],3rd Battalion 1st Marinessearch and destroy operation,Quảng TrịandThừa Thiên Provinces,,
1967,Dec 26 – Jan 21 1968,Operation Fargo[109],"11th Armored Cavalry Regimentoperation to engage the VC 271st, 272nd and 273rd Regiments, openRoute 13fromAn LoctoLoc Ninhand prevent infiltration from Cambodia",,2,2
1967,Dec 28 – Jan 3 1968,Operation Auburn[91],5th Marinesoperation,onGo Noi Islandsouth ofDa Nang,37,24
1968,68,Operation Keepout[1],USAF operation to sow anti-personnel mines,"""Parrot's Beak"" areaSvay Rieng Province, Cambodia",,
1968,68,Operation Leap Frog[2],Systematic canvassing of the opinions of senior ARVN officers by U.S. military intelligence on likely Vietcong actions,,,
1968,68 – 69,Operation Duck Hook[1],Nixon administrationcovert plan to coerce the North Vietnamese to make concessions at theParis Peace Talks,,,
1968,68 – 69,Operation Inferno[1],USAF operation to start fires by dropping bulk fuel fromC-130sin concentrated areas. The operation was eventually deemed cost prohibitive,,,
1968,Jan 1 – Feb 1973,Operation Igloo White[3][4],USAFelectronic warfare program to interdict theHo Chi Minh Trail,Ho Chi Minh Trail,,
1968,Jan 1 – Mar 1 1973,Operation Clearwater[1],US Navy operation to interdict enemy bases and lines of communications on inland waterways,I Corps,,
1968,Jan 5 – 25,Operation Sultan (1968)[1],Special ForcesProject DELTAoperation,Kon Tum Province,,
1968,Jan 5 – Apr 8,Operation Niagara[1][5],USAFbombing,aroundKhe Sanh Combat Base,unknown,
1968,Jan 10 – 21,Operation Duntroon[1][6],"2nd Battalion, Royal Australian Regiment,7th Battalion, Royal Australian Regimentand3rd Cavalry Regimentsearch and destroy operation in conjunction with 1st Brigade,9th Infantry DivisionOperation Akron V",Phước Tuy Province,,
1968,Jan 11 – 21,Operation Akron V[1],"1st Brigade,9th Infantry Divisionsearch and destroy operation",Biên Hòa Province,,
1968,Jan 13 – 28,Operation Altoona[1],199th Infantry Brigadesearch and destroy operation,Biên Hòa Province,,
1968,Jan 13 – Feb 18,Operation Haverford[1],198th Infantry Brigadesearch and destroy operation,Gia ĐịnhandLong An Provinces,,
1968,Jan 14,Operation Gator[1],"1st Battalion,16th Infantry Regimentoperation",IV Corps,,
1968,Jan 15 – Feb 9,Operation San Angelo[1],"1st Brigade,101st Airborne Divisionsearch and destroy operation",Quang DucandPhước Long Provinces,,
1968,Jan 16 – Jan 31 1969,Operation Walker[1],"3rd Battalion, 503rd Infantry Regiment173rd Airborne Brigadeand 1st Battalion,69th Armor Regimentsearch and destroy and security operation","vicinity ofAn Khê,Pleiku Province",,
1968,Jan 18 – Feb 13,Operation Coronado X[1][7],"MRF2nd Brigade,9th Infantry Divisionand US Navy Task Force 117 search and destroy operation","Ba Xuyen,Dinh Tuong,Kien Hoa,Phuoc DinhandVĩnh Long Provinces",344,23
1968,Jan 20 – 26,Operation Badger Catch laterOperation Napoleon[8][9],"BLT3rd Battalion, 1st MarinesandHMM-165search and destroy operation to clear the north banks of theCua Viet Riverand prevent enemy interdiction of river traffic",Quảng Trị Province,10,12
1968,Jan 20 – 27,Operation Atalla/Casey[1],"1st Infantry Division, 2nd Brigade,101st Airborne Divisionand11th Armored Cavalry Regimentsearch and destroy operation",Bình Long Province,,
1968,Jan 20 – 31,Operation McLain[1][10],"173rd Airborne Brigade, 3rd Brigade,506th Airborne Infantry Regimentand3rd Battalion, 69th Armor Regimentreconnaissance in force operation as continuation ofOperation Byrd",Bình Thuận Province,"1,042",
1968,Jan 21 – 24,Operation Neosho II[11],"2nd Battalion, 4th Marinesand1st Battalion, 9th Marinesclearing operation to provide cover for the1st Cavalry Division's arrival atCamp Evans",24 km northwest ofHuế,1,
1968,Jan 21 – Feb 16,Operation Osceola II[1][12],"1st Battalion, 1st Marinesand1st Battalion, 3rd Marinessearch and destroy operation",Quảng Trị Province,24,2
1968,Jan 21 – Nov 23,Operation Lancaster II[1][13],"1st Battalion, 1st Marines,1st Battalion, 3rd Marines,2nd Battalion, 3rd Marines,3rd Battalion, 3rd Marines,1st Battalion, 4th Marines,2nd Battalion, 4th Marines,3rd Battalion, 4th Marines,1st Battalion, 9th Marines,2nd Battalion, 9th Marines,3rd Battalion, 9th Marinesand 2nd Battalion,26th Marinessearch-and-clear operation to safeguardRoute 9",betweenCam LoandCa Lu,1801,359
1968,Jan 22 – Feb 29,Operation Pershing II[1][11],2/1 Cavalryand4th Infantry Divisionoperation,Bình ĐịnhandQuảng Ngãi Provinces,614,156
1968,Jan 22 – Mar 31,Operation Jeb Stuart I[1][11],"1st Cavalry Divisionand 1st and 2nd Brigades,101st Airborne Divisionoperation",Quảng Trị Province,"3,268",294
1968,Jan 24 – Mar 1,Operation Coburg[6],"2nd Battalion, Royal Australian Regiment,3rd Battalion, Royal Australian Regimentand7th Battalion, Royal Australian Regimentreconnaissance in force operation, which incidentally placed it in excellent response positions to severalTet Offensivetrouble spots",Biên HòaandPhước Tuy Provinces,,
1968,Jan 30 – Feb 28,Operation Saline[1][14],"3rd Battalion, 1st Marinesand1st Amphibian Tractor Battalionsearch and destroy operation to keep theCua Viet Riversupply line open. Combined withOperation Napoleonon 28 Feb 68",Cua Viet River,,
1968,Jan 31 – Mar 8,Operation Adairsville[1],11th Armored Cavalry Regimentoperation to defendLong Binh,Biên Hòa Province,,
1968,Feb 1 – Mar 2,Operation Hue City[15][16],1st Marinesand5th Marinesoperation to drive NVA out ofHuế(Battle of Huế) duringTet Offensive,Huế,5113,142
1968,Feb 1 – Mar 10,Operation Lam Son 68[1],"2nd Brigade,1st Infantry Divisionand ARVN5th Divisionand18th Divisionsearch and destroy operation",Biên HòaandBình Dương Provinces,,
1968,Feb 5 – 17,Operation Tran Hung Dao I[1][17],"ARVN 1st, 3rd, 6th, 8th and 11th Airborne Brigades,VNMC 1st, 2nd, 3rd, 4th & 6th Brigades,30th, 33rd, 35th, 38th & 41st Ranger Battalions, 3rd Battalion,7th Infantry Regimentand199th Infantry Brigadeoperation to defend the Saigon area during theTet Offensive",Saigon,953,
1968,Feb 10 – Mar 22,Operation Uniontown III[18],199th Light Infantry Brigadeand11th Armored Cavalry Regimentsecurity operations,Long Binh,40,
1968,Feb 13 – Mar 4,Operation Coronado XI[19],"MRF9th Infantry Division,9th ARVN Division,21st ARVN Divisionjoint riverine, air and ground search operations to locate and destroy Vietcong MR 3 headquarters and to cordon and searchCu Lao Mayisland in theHậu Riversouthwest ofCần Thơ. The operation was also to relieve enemy pressure on the city of Cần Thơ","Cai RangandPhung Hiep Districts,Phong Binh Province",,
1968,Feb 15,Operation Oakleigh[6],"2nd Battalion, Royal Australian Regimentand7th Battalion, Royal Australian Regimentcordon and search operation","Hoa Long,Long Hải",9,
1968,Feb 16 – Mar 1,Operation Mang Ho X[1],ROK Capital Divisionsearch and destroy operation,Bình Định Province,664,
1968,Feb 17 – Mar 28,Operation Tran Hung Dao II[17],Continuation ofOperation Tran Hung Dao Iin theSaigonarea with slightly reduced forces,Saigon,713,
1968,Feb 18 – 19,Operation Dandenong[6],"7th Battalion, Royal Australian Regimentcordon-and-search operation",Ap Soui Nghe,,
1968,Feb 20 – 21,Operation Clayton[6],"2nd Battalion, Royal Australian Regimentand7th Battalion, Royal Australian Regimentcordon-and search operation with support elements and South Vietnamese police and interpreters",Long Dien,,
1968,Feb 26 – Mar 3,Operation Tampa[1][20],"1st Battalion, 7th Marines,3rd Battalion, 7th Marinesand 3rd Squadron,5th Cavalry Regimentsearch and destroy operation",Quảng Nam Province,,
1968,Feb 26 – Apr 30,Operation Houston I[1][21],"2nd Battalion, 3rd Marines,1st Battalion, 5th Marines,2nd Battalion, 5th Marines,3rd Battalion, 5th Marines, 1st Battalion,327th Airborne Infantryand 2nd Battalion,502nd Airborne Infantryoperation to reopenRoute 1, betweenDa NangandPhu Bai",Thừa Thiên Province,,
1968,Feb 27 – mid Apr,Operation Pinnaroo[6],"2nd Battalion, Royal Australian Regimentand3rd Battalion, Royal Australian Regimentoperation to cordon off the entireLong Hảihills area to stop a number of VC groups trying to escape through the cordon; Australians' first successful foray into the traditional VC stronghold of the Minh Dam Secret Zone",Phước Tuy Province,21,
1968,Feb 29 – Mar 1,Operation Reaction[1],"1st Battalion,20th Infantry Regimentsearch and destroy operation",,,
1968,Feb 29 – Dec 9,Operation Napoleon/Saline[1][22],"2nd Battalion, 1st Marines,3rd Battalion, 1st Marines,1st Battalion, 3rd Marines,2nd Battalion, 3rd Marines,3rd Battalion, 3rd Marines,1st Battalion, 4th Marines,2nd Battalion, 4th Marines,1st Battalion, 9th Marines,2nd Battalion, 9th Marines, 2nd Battalion,26th Marinesand2/1 Cavalryoperation","alongCua Viet River,Quảng Trị Province",3495,353
1968,Mar 1 – 31,Operation Patrick[1],3rd Brigade4th Infantry Divisionsearch and destroy and cordon and search operation,Bình Định Province,,
1968,Mar 1 – May 21,Operation Truong Cong Dinh[1][23],"ARVN7th Divisionand9th Divisionand 1st and 2nd Brigades,9th Infantry Divisionsearch and destroy operations","Dinh Tuong,Kien Hoa,Kien Tuong,Vĩnh BìnhandBình Long Provinces",1546,
1968,Mar 3 – 7,Operation Mingo[24],"1st Battalion, 1st Marinesand 2nd Battalion327th Infantry Regimentsearch and destroy operation alongRoute 527towards theA Shau Valley",Quảng Trị Province,5,
1968,Mar 4 – 6,Operation Coronado XII[1],"MRF9th Infantry Division,ARVN 9th Division,ARVN 21st Divisionsearch and destroy operation",Ba XuyenandPhong Binh Provinces,,
1968,Mar 5 – 13,Operation Show Low[1],"4th Battalion,3rd Infantry RegimentandARVN 2nd Divisionsearch and destroy operation",Quảng Ngãi Province,,
1968,Mar 6 – 10,Operation Rock[25],"3rd Battalion, 7th Marinessweep on the peninsula formed by the Vu Gia and Thu Bon Rivers, the so-called ""Arizona Territory"",",6 km northwest ofAn Hoa,35,3
1968,Mar 7,Operation Harrisburg[1],"199th Infantry Brigade, 3rd Brigade,101st Airborne Divisionand11th Armored Cavalry Regimentsecurity operation",Biên Hòa Province,,
1968,Mar 7 – 16,Operation Valley Forge[1],"199th Infantry Brigade, 3rd Brigade,101st Airborne Divisionand 2nd Squadron,11th Armored Cavalry Regimentsearch and destroy operation",Biên HòaandLong Khánh Provinces,,
1968,Mar 8 – 31,Operation Carentan[23],"1st and 3rd Brigades,101st Airborne DivisionandARVN 1st Divisionsearch and destroy, cordon and search, reconnaissance in force operation",lowlands ofQuảng TrịandThừa Thiên Provinces,,
1968,Mar 8 – Apr 7,Operation Wilderness[1],"1st Brigade,25th Infantry Divisionand199th Infantry Brigadesearch and destroy operation",Tây Ninh Province,,
1968,Mar 11 – Apr 7,Operation Quyet Thang/Operation Resolve to Win[26][27],"1st Infantry Division,9th Infantry Divisionand25th Infantry Division; ARVN5th Division,25th Division,Airborne Battalions, andMarinespost-Tet Offensiveclearing operation to mop up VC",Saigonarea and 5 surrounding provinces,2658,79 US
1968,Mar 12 – 26,Operation Worth[1][25],"1st Battalion, 7th Marines,2nd Battalion, 7th Marinesand 3rd Squadron,5th Cavalry Regimentsearch and destroy operation","24 km northwest ofDa Nang,Quảng Nam Province",160,27
1968,Mar 14 – 20,Operation Ford[24],"2nd Battalion, 3rd Marinesand1st Battalion, 1st Marinessweep of thePhu Thu Peninsulato engage the Vietcong804th Main Force Battalion",east ofPhu Bai,145,14
1968,Mar 14 – 20,Operation Lam Son 194[24],ARVN1st Divisionoperation tying in withOperation Ford,east ofPhu Bai,,
1968,Mar 16 – 17,Operation San Francisco[1],"3rd Brigade,1st Infantry Divisionsearch and destroy operation",III Corps,,
1968,Mar 16 – 28,Operation Box Springs[1],"3rd Brigade,101st Airborne Divisionand173rd Airborne Brigadesearch and destroy operation",Bình Dương Province,,
1968,Mar 17 – Jul 30,Operation Duong Cua Dan/Operation People's Road[1][28],9th Infantry Divisionsecurity operation for repair ofRoute 4,betweenCat LayandMỹ Tho,1357,93
1968,Mar 21 – Apr 6,Operation Alcorn Grove[1],11th Armored Cavalry Regimentoperation,Long Khánh Province,,
1968,Mar 23 – Apr 7,Operation Los Banos[1],"3rd Brigade,101st Airborne Divisionsecurity operation",Biên Hòa Province,,
1968,Mar 25 – May 29,Operation Ashgrove Tram[6],"2nd Battalion, Royal Australian Regiment/RNZIR(ANZAC) cordon-and-search operation",Long Hảivillage,,
1968,Mar 28 – 29,Operation Woolgoogla[6],"7th Battalion, Royal Australian Regimentfinal operation as a company search in theCay Denjungle",1 km southeast ofHoa Long,8,
1968,Mar 30 – Jan 31 1969,Operation Cochise Green/Dan Sinh[1][29],173rd Airborne Brigadeand4th Infantry Divisionreconnaissance in force and pacification operation,Bình ĐịnhandQuảng Ngãi Provinces,929,114
1968,Apr – Oct,Operation Duck Blind[1],Interim code name forOperation Igloo White,,,
1968,Apr 1 – 15,Operation Pegasus/Operation Lam Son 207[1][30],"1st Cavalry Division,1st Battalion, 1st Marines,2nd Battalion, 1st Marines,2nd Battalion, 3rd Marines,1st Battalion, 9th Marines1st, 2nd and 3rd battalions,26th MarinesandARVN 2nd Divisionresupply and relief operations alongRoute 9to U.S. MarinesbesiegedatCombat Base",Quảng Trị Province,1100+ (est),144
1968,Apr 1 – 24,Operation Cooktown Orchid[1][6],"2nd Battalion, Royal Australian Regimentsecurity operation",area surrounding theLong Hảihills complex to the east ofĐất Đỏ,,
1968,Apr 1 – May 17,Operation Carentan II[23],101st Airborne Divisionand 3rd Brigade82nd Airborne Divisionoperation,lowlands ofQuảng TrịandThừa Thiên Provinces,"2,100",195
1968,Apr 3 – 7,Operation Atlas I[1],1st Infantry Divisionsecurity operation,Bình Dương Province,,
1968,Apr 3 – 7,Operation Carlisle[1],1st Infantry Divisionsecurity operation,Phước Long Province,,
1968,Apr 3 – 7,Operation Waterford[1],1st Infantry Divisionsecurity operation,Bình Long Province,13,
1968,Apr 8 – 19,Operation Norfolk Victory[1],"1st Battalion,20th Infantry Regimentclear and search operation","Nghĩa Hành District,Quảng Ngãi Province",43,5
1968,Apr 8 – May 31,Operation Toan Thang I[6][31],"Allied reaction to theTet Offensive, first of a series of massive operations combining the assets and operations of the ARVN'sIII Corpsand the AmericanII Field Forceto maintain the post-Tet pressure on the enemy and to drive all remaining NVA/VC troops fromIII Corpsand the Saigon area. 3rd Brigade,9th Infantry Division),1st Infantry Division,25th Infantry Division,199th Infantry Brigade,11th Armored Cavalry Regimentand1st Battalion, Royal Australian Regimentparticipated",,"7,645",440
